0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-03-01 0:00,1,jeju,2,수집,공기질,습도,56.791,58.209,57.5582,287.791,5,0.670074623,0.449,,20190301,0,0,,
2019-03-01 0:00,1,jeju,2,수집,공기질,초미세먼지,104.53,119.47,113.106,565.53,5,4.881598099,23.83,,20190301,0,0,,
2019-03-01 0:00,1,jeju,3,수집,공기질,습도,63.505,64.495,63.901,319.505,5,0.703562364,0.495,,20190301,0,0,,
2019-03-01 0:00,1,jeju,3,수집,공기질,초미세먼지,265.665,303.335,288.733,1443.665,5,12.42960176,154.495,,20190301,0,0,,
2019-03-01 0:00,1,jeju,4,수집,공기질,습도,67.855,68.145,67.971,339.855,5,0.380788655,0.145,,20190301,0,0,,
2019-03-01 0:00,1,jeju,4,수집,공기질,초미세먼지,111.628,128.372,121.9256,609.628,5,5.583189053,31.172,,20190301,0,0,,
2019-03-01 0:00,1,jeju,5,수집,공기질,습도,70.883,71.117,70.9766,354.883,5,0.342052628,0.117,,20190301,0,0,,
2019-03-01 0:00,1,jeju,5,수집,공기질,초미세먼지,26.772,35.228,31.9544,159.772,5,3.380532502,11.428,,20190301,0,0,,
2019-03-01 0:00,1,jeju,6,수집,공기질,습도,73.755,74.245,73.951,369.755,5,0.494974747,0.245,,20190301,0,0,,
2019-03-01 0:00,1,jeju,6,수집,공기질,초미세먼지,421.485,473.515,449.097,2245.485,5,18.26129787,333.475,,20190301,0,0,,
2019-03-01 0:00,1,jeju,7,수집,공기질,습도,70.998,71.002,70.9996,354.998,5,0.04472136,0.002,,20190301,0,0,,
2019-03-01 0:00,1,jeju,7,수집,공기질,초미세먼지,90.597,105.403,96.5194,482.597,5,4.716248509,22.243,,20190301,0,0,,
2019-03-01 0:00,1,jeju,8,수집,공기질,습도,52.476,55.524,53.6952,268.476,5,1.041153207,1.084,,20190301,0,0,,
2019-03-01 0:00,1,jeju,8,수집,공기질,초미세먼지,188.695,206.305,195.139,975.695,5,5.938434137,35.265,,20190301,0,0,,
2019-03-01 0:00,1,jeju,9,수집,공기질,습도,38.76,39.24,38.952,194.76,5,0.489897949,0.24,,20190301,0,0,,
