0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-09-01 0:00,1,jeju,16,수집,공기질,온도,22.974,23.926,23.3548,116.774,5,0.654522727,0.4284,,20190901,0,0,,
2019-09-01 0:00,1,jeju,17,수집,공기질,습도,75.599,77.401,76.3198,381.599,5,0.800624756,0.641,,20190901,0,0,,
2019-09-01 0:00,1,jeju,17,수집,공기질,초미세먼지,1.747,5.253,2.9494,14.747,5,1.205404496,1.453,,20190901,0,0,,
2019-09-01 0:00,1,jeju,17,수집,공기질,온도,22.639,23.061,22.8078,114.039,5,0.404227659,0.1634,,20190901,0,0,,
2019-09-01 0:00,1,jeju,18,수집,공기질,초미세먼지,3.483,9.517,5.6966,28.483,5,1.864671553,3.477,,20190901,0,0,,
2019-09-01 0:00,1,jeju,19,수집,공기질,습도,77.505,79.495,78.101,390.505,5,0.809320703,0.655,,20190901,0,0,,
2019-09-01 0:00,1,jeju,19,수집,공기질,초미세먼지,1.624,3.376,2.7248,13.624,5,0.732120209,0.536,,20190901,0,0,,
2019-09-01 0:00,1,jeju,19,수집,공기질,온도,21.152,21.648,21.4304,107.152,5,0.392937654,0.1544,,20190901,0,0,,
2019-09-01 0:00,1,jeju,20,수집,공기질,습도,70.679,71.321,70.9358,354.679,5,0.566568619,0.321,,20190901,0,0,,
2019-09-01 0:00,1,jeju,20,수집,공기질,초미세먼지,5.635,9.365,7.127,35.635,5,1.313392554,1.725,,20190901,0,0,,
2019-09-01 0:00,1,jeju,20,수집,공기질,온도,21.584,22.116,21.8368,109.184,5,0.466476152,0.2176,,20190901,0,0,,
2019-09-01 0:00,1,jeju,21,수집,공기질,습도,71.712,73.288,72.1424,360.712,5,0.669328021,0.448,,20190901,0,0,,
2019-09-01 0:00,1,jeju,21,수집,공기질,초미세먼지,1.645,6.355,3.729,18.645,5,1.454303957,2.115,,20190901,0,0,,
2019-09-01 0:00,1,jeju,21,수집,공기질,온도,21.306,22.494,21.7812,108.906,5,0.770713955,0.594,,20190901,0,0,,
2019-09-01 0:00,1,jeju,23,수집,공기질,습도,70.328,72.672,71.6656,358.328,5,0.91214034,0.832,,20190901,0,0,,
2019-09-01 0:00,1,jeju,23,수집,공기질,초미세먼지,2.734,6.266,4.1468,20.734,5,1.107248843,1.226,,20190901,0,0,,
2019-09-01 0:00,1,jeju,23,수집,공기질,온도,22.108,23.392,22.6016,113.008,5,0.770454411,0.5936,,20190901,0,0,,
2019-09-01 0:00,1,jeju,24,수집,공기질,습도,65.355,66.645,65.871,329.355,5,0.80311892,0.645,,20190901,0,0,,
2019-09-01 0:00,1,jeju,24,수집,공기질,초미세먼지,3.725,6.275,4.945,24.725,5,0.821583836,0.675,,20190901,0,0,,
2019-09-01 0:00,1,jeju,24,수집,공기질,온도,23.953,24.447,24.1506,120.753,5,0.496990946,0.247,,20190901,0,0,,
2019-09-01 0:00,1,jeju,25,수집,공기질,습도,67.437,68.563,67.8874,339.437,5,0.750333259,0.563,,20190901,0,0,,
2019-09-01 0:00,1,jeju,25,수집,공기질,초미세먼지,4.489,11.511,7.0978,35.489,5,2.504196478,6.271,,20190901,0,0,,
2019-09-01 0:00,1,jeju,25,수집,공기질,온도,23.392,24.308,23.7784,118.892,5,0.640624695,0.4104,,20190901,0,0,,
2019-09-01 0:00,1,jeju,26,수집,공기질,습도,69.906,71.094,70.5812,352.906,5,0.577927331,0.334,,20190901,0,0,,
2019-09-01 0:00,1,jeju,26,수집,공기질,초미세먼지,1.479,5.521,3.4958,17.479,5,1.536554587,2.361,,20190901,0,0,,
2019-09-01 0:00,1,jeju,26,수집,공기질,온도,22.804,23.096,22.9408,114.704,5,0.313687743,0.0984,,20190901,0,0,,
